,"Heugraben <10424>",19,,19,,8,,37,,49,,52,,31,,3,,1,,-,,6,,1,,3,,-,,-,,1,,1,,-,,-,,-,,-,,
,"Inzenhof <10421>",38,,35,,18,,48,,77,,89,,24,,2,,2,,2,,3,,6,,5,,1,,-,,-,,-,,-,,-,,-,,1,,
,"Kleinmürbisch <10422>",15,,37,,11,,31,,59,,57,,27,,-,,1,,-,,1,,1,,1,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kukmirn <10408>",223,,223,,81,,307,,401,,483,,233,,25,,15,,4,,31,,26,,19,,9,,-,,1,,-,,3,,4,,-,,1,,
,"Moschendorf <10428>",35,,51,,14,,48,,71,,108,,43,,2,,3,,2,,3,,7,,4,,3,,-,,-,,-,,1,,-,,-,,-,,
,"Neuberg im Burgenland <10409>",96,,114,,36,,161,,214,,228,,105,,2,,2,,-,,7,,9,,8,,4,,1,,2,,-,,4,,3,,-,,-,,
,"Neustift bei Güssing <10410>",30,,42,,10,,42,,106,,123,,68,,1,,3,,2,,6,,8,,14,,2,,-,,-,,-,,-,,-,,-,,1,,
,"Olbendorf <10411>",177,,139,,39,,239,,296,,358,,170,,21,,14,,5,,29,,20,,14,,2,,1,,1,,-,,4,,4,,1,,-,,
,"Ollersdorf im Burgenland <10412>",93,,112,,29,,125,,233,,220,,99,,6,,3,,-,,12,,13,,6,,-,,6,,2,,-,,6,,5,,3,,-,,
,"Rauchwart <10427>",51,,50,,18,,84,,100,,108,,46,,3,,-,,-,,5,,5,,9,,1,,-,,-,,-,,-,,2,,-,,-,,
,"Rohr im Burgenland <10425>",34,,38,,16,,59,,93,,93,,36,,2,,1,,1,,1,,5,,2,,1,,-,,-,,-,,-,,-,,-,,-,,
,"Sankt Michael im Burgenland <10413>",95,,117,,41,,119,,240,,236,,123,,12,,8,,4,,20,,17,,8,,6,,-,,1,,-,,3,,2,,3,,-,,
,"Stegersbach <10414>",268,,359,,129,,358,,577,,539,,283,,43,,32,,10,,64,,49,,16,,4,,29,,39,,12,,43,,28,,8,,5,,
,"Stinatz <10415>",109,,136,,47,,149,,246,,267,,109,,19,,24,,7,,28,,17,,12,,4,,42,,55,,22,,35,,15,,6,,2,,
,"Strem <10416>",79,,65,,22,,126,,186,,227,,167,,8,,7,,4,,11,,16,,12,,5,,3,,3,,3,,3,,1,,1,,1,,
,"Tobaj <10417>",162,,154,,44,,230,,305,,294,,113,,9,,13,,-,,9,,16,,11,,4,,12,,32,,6,,19,,3,,2,,-,,
,"Tschanigraben <10423>",6,,6,,3,,11,,11,,22,,9,,1,,-,,-,,-,,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Wörterberg <10419>",56,,61,,26,,90,,102,,106,,43,,2,,1,,-,,4,,8,,1,,-,,22,,7,,6,,13,,11,,5,,2,,
,"Deutsch Kaltenbrunn <10501>",184,,194,,60,,282,,386,,398,,177,,20,,11,,5,,27,,15,,5,,4,,7,,14,,5,,12,,3,,2,,2,,
,"Eltendorf <10502>",76,,111,,29,,123,,209,,211,,125,,7,,4,,1,,12,,16,,17,,3,,-,,2,,-,,3,,1,,1,,1,,
,"Heiligenkreuz im Lafnitztal <10503>",124,,123,,43,,169,,258,,262,,153,,23,,18,,8,,51,,36,,14,,7,,8,,22,,2,,9,,5,,1,,-,,
